MonthYear,Actor1CountryCode,EventsMentions45up
201710   ,SOM              ,62
201710   ,LTU              ,15
201803   ,CHN              ,186
201711   ,DEU              ,216
201802   ,NGA              ,37
201803   ,COD              ,3
201803   ,BFA              ,15
201801   ,BGR              ,45
201801   ,BRA              ,46
201802   ,PSE              ,49
201804   ,KGZ              ,20
201705   ,KNA              ,1
201712   ,JOR              ,43
201711   ,NER              ,4
201710   ,SUR              ,3
201805   ,ISL              ,1
201712   ,NOR              ,19
201712   ,MDG              ,2
201506   ,EUR              ,237
201505   ,USA              ,3635
201507   ,AUT              ,27
201503   ,LBY              ,29
201602   ,IND              ,66
201507   ,GBR              ,310
201603   ,IDN              ,48
201605   ,SGP              ,9
201603   ,GRC              ,128
201504   ,YEM              ,88
201803   ,NMR              ,2
201507   ,RUS              ,193
201801   ,MRT              ,5
201604   ,BHS              ,5
201507   ,NRU              ,7
201608   ,UGA              ,20
201710   ,AND              ,2
201905   ,FIN              ,17
201602   ,IRL              ,19
202001   ,                 ,4335
202001   ,AUS              ,74
201907   ,MCO              ,5
201907   ,BGR              ,15
201509   ,BEN              ,2
201605   ,AND              ,2
201808   ,                 ,9246
201908   ,IRL              ,100
201507   ,SDN              ,9
201912   ,JPN              ,50
201910   ,                 ,5549
201910   ,RUS              ,225
201907   ,ETH              ,2
201908   ,GTM              ,4
201910   ,MYS              ,3
201909   ,RUS              ,198
201910   ,CMR              ,10
201512   ,DJI              ,4
201811   ,NGA              ,13
201910   ,SLV              ,2
202001   ,OMN              ,8
201507   ,HKG              ,4
201607   ,BHR              ,12
201607   ,PGS              ,1
201909   ,WST              ,4
201812   ,EUR              ,123
201812   ,HRV              ,10
201803   ,BHS              ,2
201809   ,GBR              ,569
201601   ,WAF              ,1
201504   ,TMP              ,2
201606   ,IDN              ,31
201808   ,VAT              ,24
201606   ,WAF              ,4
201602   ,WAF              ,1
201909   ,PSE              ,8
201911   ,SEN              ,1
201808   ,BHS              ,3
201809   ,BRA              ,59
201809   ,MDA              ,14
201906   ,WST              ,14
201505   ,PRY              ,5
201810   ,PRT              ,15
201502   ,SVK              ,2
201904   ,BHR              ,3
201810   ,PHL              ,6
201902   ,PSE              ,9
201902   ,LBN              ,5
