MonthYear,Actor1CountryCode,InnerEvents
201603   ,CIV              ,913
201607   ,PSE              ,2521
201607   ,SGP              ,885
201605   ,PSE              ,3482
201805   ,TUR              ,6729
201805   ,UKR              ,9864
201805   ,CHE              ,1817
201805   ,SDN              ,1130
201709   ,TWN              ,527
201711   ,LBN              ,8340
201803   ,ESP              ,5626
201803   ,EST              ,318
201803   ,ETH              ,848
201802   ,MEX              ,3060
201801   ,HRV              ,1014
201802   ,PRT              ,699
201612   ,SUR              ,21
201512   ,TWN              ,700
201712   ,DOM              ,110
201712   ,BFA              ,133
201601   ,LAO              ,257
201604   ,BOL              ,482
201510   ,TCD              ,191
201604   ,CYP              ,622
201505   ,TUR              ,5650
201503   ,PAN              ,282
201601   ,CYP              ,549
201504   ,JOR              ,1079
201510   ,PNG              ,131
201504   ,SOM              ,1777
201508   ,DZA              ,502
201605   ,ALB              ,1076
201504   ,CMR              ,185
201512   ,NPL              ,659
201505   ,KIR              ,2
201510   ,KAZ              ,680
201502   ,MYS              ,724
201503   ,SOM              ,1438
201503   ,TJK              ,494
201507   ,TKM              ,347
201710   ,ETH              ,609
201512   ,CAF              ,173
201603   ,BFA              ,136
201505   ,ISL              ,43
201510   ,GNB              ,51
201603   ,DOM              ,205
201612   ,MAC              ,4
201504   ,COK              ,19
201804   ,ZMB              ,430
201804   ,DJI              ,91
201804   ,VUT              ,94
201804   ,OMN              ,295
201804   ,MRT              ,83
201710   ,CHE              ,1696
201701   ,SMR              ,2
201701   ,GNQ              ,61
201803   ,KIR              ,12
201906   ,HUN              ,876
202006   ,KHM              ,43
201611   ,EAF              ,5
201807   ,TUN              ,477
201807   ,ABW              ,1
201907   ,CMR              ,231
201907   ,MLI              ,272
201907   ,MOZ              ,384
201906   ,NZL              ,1319
201906   ,SOM              ,436
201810   ,AFG              ,6632
201902   ,NLD              ,1254
201902   ,BHS              ,147
201902   ,SLE              ,170
201902   ,TKM              ,234
201909   ,IRQ              ,1683
201903   ,THA              ,1199
201903   ,COM              ,49
201903   ,SLB              ,41
201607   ,BTN              ,95
201812   ,BGR              ,658
201812   ,MNG              ,54
201812   ,MOZ              ,161
201810   ,SLB              ,39
201810   ,DJI              ,37
201810   ,NIC              ,630
201810   ,BHS              ,129
201810   ,GNB              ,5
201810   ,MHL              ,7
201901   ,ZMB              ,291
201905   ,COG              ,59
201801   ,MEA              ,5
201806   ,ISL              ,73
201910   ,EUR              ,2464
201910   ,BEL              ,1235
201911   ,IRL              ,2241
201911   ,MDV              ,116
201910   ,NLD              ,1475
201906   ,LAO              ,45
202001   ,GMB              ,362
202001   ,YEM              ,417
202001   ,KGZ              ,260
201912   ,TGO              ,36
202002   ,ECU              ,273
202002   ,PNG              ,57
202002   ,MNG              ,74
202002   ,CZE              ,399
201908   ,IRL              ,2632
201908   ,LUX              ,88
201908   ,THA              ,1151
201908   ,SYC              ,53
201808   ,NAM              ,341
201808   ,LKA              ,1112
201808   ,MUS              ,173
201809   ,SYC              ,27
201910   ,TON              ,39
201902   ,AIA              ,6
202002   ,TJK              ,87
201903   ,KIR              ,11
201606   ,SLB              ,52
201912   ,SWE              ,1045
201912   ,ETH              ,621
201912   ,BTN              ,50
201902   ,HKG              ,3
201906   ,GNB              ,7
201606   ,ATG              ,47
201710   ,HKG              ,2
202003   ,ISR              ,6921
202003   ,MDA              ,148
202002   ,AUS              ,6309
202004   ,AUS              ,7210
202004   ,ARM              ,1053
202004   ,SLV              ,92
201904   ,ESP              ,3255
202005   ,ALB              ,260
202005   ,AUT              ,599
201905   ,NZL              ,1823
201904   ,VNM              ,800
201704   ,ARE              ,1197
201704   ,ARG              ,1618
201704   ,BRN              ,99
201703   ,HUN              ,1379
201704   ,VUT              ,16
201604   ,CZE              ,854
201704   ,NMR              ,49
201702   ,JOR              ,1333
201602   ,SAU              ,4626
201611   ,CAN              ,11117
201511   ,BRA              ,3116
201611   ,TTO              ,377
201612   ,GHA              ,1323
201611   ,NAM              ,294
201611   ,SUR              ,28
201610   ,NZL              ,1839
201707   ,BGR              ,1015
201708   ,COK              ,11
201510   ,BGD              ,1905
201610   ,SLB              ,45
201603   ,UGA              ,1329
201703   ,SYC              ,49
201603   ,BTN              ,77
201603   ,SWE              ,1013
201705   ,NGA              ,10611
201608   ,BOL              ,804
201701   ,SUR              ,43
201708   ,MHL              ,14
201609   ,MRT              ,175
201609   ,SUR              ,30
201509   ,RUS              ,21479
201707   ,SLE              ,91
201607   ,MAR              ,1255
201707   ,CYP              ,402
201707   ,MNG              ,121
201607   ,UGA              ,1667
201707   ,TUN              ,514
201707   ,COK              ,9
201707   ,PLW              ,6
201512   ,CAN              ,7574
201612   ,GAB              ,154
201601   ,SYR              ,11333
201508   ,IDN              ,3097
201705   ,MLI              ,519
201705   ,MWI              ,384
201605   ,USA              ,195603
201705   ,BRN              ,53
201605   ,ISR              ,12609
201605   ,GBR              ,21586
201805   ,NOR              ,562
201805   ,JPN              ,4197
201805   ,COD              ,318
201805   ,SYC              ,55
201805   ,VNM              ,903
201709   ,LTU              ,419
201709   ,DNK              ,900
201709   ,KGZ              ,314
201711   ,DMA              ,21
201711   ,TZA              ,321
201803   ,JPN              ,4521
201803   ,COM              ,45
201803   ,NIC              ,249
201801   ,GRD              ,29
201712   ,GBR              ,16188
201709   ,MNG              ,78
201712   ,RUS              ,21366
201712   ,BRA              ,2656
201506   ,DEU              ,10666
201603   ,AUT              ,1229
201503   ,BHR              ,557
201503   ,BGD              ,2231
201504   ,SAU              ,4999
201603   ,COG              ,114
201505   ,ECU              ,424
201605   ,ETH              ,628
201503   ,NOR              ,747
201506   ,HTI              ,692
201502   ,ITA              ,1599
201502   ,SYR              ,2392
201507   ,NLD              ,1931
201602   ,SEA              ,260
201512   ,CMR              ,260
201502   ,IND              ,1819
201510   ,SEN              ,337
201602   ,URY              ,203
201507   ,NIC              ,211
201505   ,GTM              ,427
201512   ,KIR              ,56
201505   ,DJI              ,185
201604   ,CRI              ,97
201503   ,TGO              ,70
201603   ,MDG              ,79
201803   ,PLW              ,5
201602   ,COK              ,24
201509   ,BEN              ,51
201501   ,SWZ              ,1
201512   ,CPV              ,6
201501   ,MWI              ,3
201712   ,FSM              ,12
201804   ,BEL              ,1000
201804   ,JPN              ,4717
201804   ,KWT              ,812
202006   ,CHN              ,2045
201605   ,SUR              ,12
202006   ,GBR              ,2129
201906   ,KOR              ,2641
202006   ,TTO              ,13
201801   ,SAF              ,6
201807   ,PAK              ,7776
201705   ,FSM              ,2
201907   ,JPN              ,4548
201907   ,VEN              ,2680
201907   ,LKA              ,1282
201907   ,CHN              ,11714
201811   ,ARM              ,1054
201811   ,BHR              ,405
201811   ,BLZ              ,148
201811   ,TZA              ,509
201811   ,CUB              ,2127
201909   ,IRL              ,2794
201903   ,AZE              ,1019
201903   ,UZB              ,251
201903   ,DJI              ,53
201903   ,PRT              ,726
201903   ,GTM              ,302
201909   ,TUV              ,15
201812   ,SGP              ,512
201810   ,LUX              ,147
201809   ,AFR              ,1551
201806   ,ZWE              ,1481
201907   ,COM              ,4
201906   ,PLW              ,16
201810   ,NMR              ,13
201901   ,MDV              ,207
201905   ,TTO              ,173
201905   ,CIV              ,145
201905   ,TJK              ,164
201905   ,LIE              ,10
201806   ,GUY              ,245
201904   ,LKA              ,4094
201904   ,BGR              ,809
201904   ,VAT              ,57
201904   ,BRN              ,265
201904   ,CAF              ,34
201911   ,COM              ,10
201906   ,HTI              ,231
201906   ,QAT              ,441
202001   ,NZL              ,795
202001   ,KIR              ,16
202002   ,MCO              ,37
201908   ,KGZ              ,735
201908   ,VEN              ,2458
201908   ,NER              ,73
201808   ,AZE              ,671
201808   ,SAS              ,28
201912   ,IDN              ,2615
201811   ,ABW              ,10
202002   ,SGP              ,711
201606   ,NER              ,233
201912   ,SYC              ,55
201906   ,MAC              ,4
201806   ,TUV              ,13
201605   ,MAC              ,1
202003   ,SYR              ,4309
202004   ,TTO              ,155
202004   ,BHR              ,172
202004   ,HTI              ,118
202004   ,MCO              ,24
201904   ,SOM              ,567
202004   ,MDG              ,124
201704   ,UGA              ,1271
201704   ,PRY              ,460
201704   ,QAT              ,826
201704   ,THA              ,1193
201604   ,NLD              ,2675
201702   ,SDN              ,1308
201611   ,POL              ,2417
201611   ,PHL              ,6013
201611   ,MYS              ,2420
201511   ,GBR              ,22214
201611   ,ATG              ,105
201511   ,POL              ,1940
201708   ,DNK              ,1420
201708   ,CRI              ,88
201608   ,CAN              ,9193
201707   ,RUS              ,27817
201610   ,CAF              ,123
201604   ,MCO              ,90
201510   ,PRK              ,585
201609   ,FRA              ,11225
201703   ,KAZ              ,576
201703   ,MUS              ,366
201603   ,KEN              ,1728
201603   ,GUY              ,344
201703   ,GNB              ,65
201706   ,LAO              ,64
201706   ,KNA              ,7
201508   ,AFG              ,11319
201608   ,AZE              ,1261
201608   ,MKD              ,997
201608   ,GTM              ,228
201612   ,BRA              ,3475
201701   ,BHR              ,790
201705   ,SGP              ,548
201705   ,CAF              ,114
201609   ,YEM              ,2092
201609   ,CYP              ,523
201509   ,NPL              ,1031
201612   ,COL              ,3383
201612   ,LVA              ,345
201612   ,WAF              ,65
201612   ,VAT              ,99
201612   ,LCA              ,38
201512   ,AFG              ,13781
201511   ,PNG              ,98
201601   ,CHE              ,2226
201601   ,FJI              ,374
201701   ,TMP              ,16
201603   ,GAB              ,38
201509   ,GAB              ,67
201605   ,THA              ,1610
201605   ,AUT              ,1482
201509   ,NOR              ,1091
201805   ,SLV              ,197
201805   ,PAK              ,7311
201805   ,COG              ,121
201805   ,YEM              ,1093
201709   ,KHM              ,1230
201709   ,HND              ,290
201709   ,COM              ,10
201805   ,VAT              ,68
201709   ,SYC              ,40
201711   ,BMU              ,70
201711   ,GRD              ,44
201803   ,BRA              ,3299
201802   ,NPL              ,633
201801   ,PER              ,2584
201801   ,IRQ              ,2942
201801   ,ECU              ,1052
201801   ,AFR              ,1831
201801   ,CMR              ,367
201801   ,LVA              ,337
201709   ,GNB              ,10
201803   ,BTN              ,42
201712   ,IRQ              ,3411
201701   ,MAC              ,8
201601   ,BRA              ,2673
201506   ,LKA              ,1925
201503   ,KHM              ,1060
201504   ,CHN              ,10552
201510   ,BHR              ,438
201505   ,GHA              ,844
201602   ,VAT              ,124
201509   ,CIV              ,282
201605   ,MRT              ,225
201507   ,MEX              ,5209
201603   ,NER              ,235
201503   ,POL              ,1919
201502   ,PAN              ,101
201603   ,TON              ,35
201504   ,VNM              ,1339
201508   ,MWI              ,265
201605   ,ERI              ,172
201509   ,PRY              ,151
201510   ,TTO              ,271
201506   ,WAF              ,15
201505   ,CYP              ,376
201510   ,HND              ,332
201501   ,NZL              ,26
201604   ,NRU              ,50
201503   ,BDI              ,130
201512   ,TUV              ,101
201509   ,CRI              ,145
201602   ,FSM              ,12
201601   ,WLF              ,4
201504   ,CAF              ,62
201511   ,CYM              ,38
201603   ,KIR              ,11
201512   ,GNB              ,27
201802   ,JAM              ,526
201501   ,GUY              ,5
201607   ,HND              ,480
201804   ,LUX              ,95
201502   ,LIE              ,3
201710   ,EST              ,293
201804   ,NRU              ,10
202006   ,ISR              ,922
202006   ,AFR              ,165
202006   ,GIN              ,5
