Year,Actor1CountryCode,Count
2019,BTN              ,13207
2020,CAF              ,2293
2019,LTU              ,61065
2019,BRN              ,15049
2017,SAU              ,738597
2016,ISR              ,1108832
2016,BLR              ,156777
2017,FSM              ,1861
2016,MCO              ,57511
2018,SEA              ,53654
2016,NER              ,35557
2016,GRD              ,13103
2016,LAM              ,605
2016,LIE              ,3207
2015,CYM              ,9119
2015,EEU              ,4
2019,AIA              ,2157
2020,KOR              ,100643
2020,PER              ,32603
2020,GAB              ,1611
2019,BGD              ,188179
2017,IRN              ,858321
2017,IND              ,780819
2017,SEN              ,55988
2017,MRT              ,24384
2016,BEL              ,432011
2018,TUN              ,74915
2018,CUB              ,129927
2018,SRB              ,141358
2018,ZWE              ,136350
2018,MDG              ,13783
2018,SLE              ,21001
2015,BGD              ,199249
2015,NMR              ,40914
2015,LUX              ,46022
2015,NRU              ,5917
2015,DJI              ,21211
2015,SEN              ,38515
2020,ARE              ,43641
2020,GRC              ,94115
2020,DEU              ,239678
2020,COD              ,7286
2019,NMR              ,49825
2019,SLV              ,37579
2019,SOM              ,64612
2019,ISL              ,19197
2019,HTI              ,29851
2017,GBR              ,2348843
2017,BHR              ,105225
2017,UZB              ,42235
2017,LAO              ,21372
2016,UGA              ,142040
2016,AFG              ,537672
2017,MAC              ,1528
2016,MKD              ,115212
2018,RWA              ,47864
2018,SMR              ,919
2016,CYM              ,9812
2016,FSM              ,2442
2015,URY              ,39600
2015,KIR              ,3408
2017,NAF              ,13
2019,POL              ,249780
2020,BLZ              ,3652
2020,COK              ,937
2019,HRV              ,72683
2019,IND              ,678170
2019,GNB              ,3573
2017,SLV              ,33148
2018,BGD              ,207309
2018,CHN              ,1443305
2015,EUR              ,903330
2015,KWT              ,94157
2015,CUB              ,253536
2015,SAF              ,4465
2015,ROM              ,357
2020,EUR              ,215724
2020,GBR              ,567787
2020,MDV              ,32543
2020,PRT              ,29312
2020,JOR              ,48023
2020,FJI              ,7040
2020,KAZ              ,16562
2020,LCA              ,2134
2019,RUS              ,1787635
2017,SOM              ,138117
2017,SEA              ,80272
2016,QAT              ,152187
2016,BHR              ,93416
2017,AIA              ,2580
2016,MLT              ,41593
2018,SUR              ,5316
2015,PRK              ,114264
2015,MAR              ,140586
2015,BLZ              ,19144
2016,PRI              ,3
2019,VUT              ,5989
2020,EGY              ,97633
2020,POL              ,65634
2020,TON              ,1587
2017,USA              ,13155504
2017,ARE              ,202157
2017,NMR              ,55569
2017,WSM              ,12265
2016,NIC              ,43217
2018,POL              ,292707
2018,IND              ,731465
2018,CRI              ,20315
2018,PLW              ,5281
2015,BRA              ,274785
2015,UGA              ,99885
2015,MRT              ,21106
2015,BTN              ,10454
2015,BDI              ,52525
2020,COM              ,644
2020,PGS              ,1393
2019,CHN              ,1341531
2020,DJI              ,3540
2019,IRN              ,743039
2019,PRK              ,262261
2019,AGO              ,34363
2020,NRU              ,322
2019,BDI              ,14506
2019,BMU              ,13023
2019,BEN              ,15325
2017,TTO              ,32107
2017,ETH              ,77002
2017,MNG              ,16358
2017,VAT              ,73929
2016,ETH              ,104221
2016,DEU              ,1239568
2016,NGA              ,780050
2016,NOR              ,159153
2018,LVA              ,55039
2018,PRY              ,31500
2018,SOM              ,81120
2015,TUN              ,128720
2015,NER              ,35623
2015,WLF              ,57
2020,AFR              ,139660
2020,NPL              ,19983
2020,ATG              ,935
2019,GIN              ,22684
2017,LKA              ,114536
2017,KGZ              ,43596
2017,KNA              ,6646
2018,THA              ,122638
2018,OMN              ,64736
2018,CAS              ,1731
2016,LCA              ,11868
2015,SLV              ,27714
2016,AIA              ,1784
2015,SLE              ,23738
2015,WST              ,87155
2019,CYM              ,5911
2019,GUY              ,31269
2020,BGD              ,50261
2020,AUT              ,29244
2020,VEN              ,59631
2020,SAS              ,4534
2020,MDG              ,3270
2019,NZL              ,249484
2019,MCO              ,44221
2017,MDA              ,96037
2016,SLE              ,23263
2016,CHL              ,139733
2018,JAM              ,59146
2018,JPN              ,528145
2018,MLT              ,55247
2018,FJI              ,44880
2018,BWA              ,21443
2018,GEO              ,1281
2015,UKR              ,869424
2016,CAS              ,1759
2015,MEA              ,17037
2015,LAO              ,15717
2015,TGO              ,9615
2018,WLF              ,146
2020,KHM              ,16541
2020,BDI              ,4078
2020,GHA              ,39462
2019,MOZ              ,34452
2019,SAS              ,13968
2017,AFR              ,577384
2017,LIE              ,2391
2017,GNB              ,4819
2016,BRN              ,42484
2016,EUR              ,1198453
2016,POL              ,351067
2016,GMB              ,34682
2018,HUN              ,126215
2018,HRV              ,93402
2018,VEN              ,271335
2016,ABW              ,2670
2019,GEO              ,613
2020,SEA              ,10316
2020,BHR              ,10562
2020,HUN              ,20624
2020,LBY              ,57759
2019,ALB              ,65001
2017,ITA              ,690085
2017,BRB              ,16760
2016,DNK              ,158657
2016,LAO              ,41350
2016,TKM              ,28988
