MonthYear,EventRootCode,Count,SumAvgToneNumSources,AvgAvgToneNumSources
202004   ,17           ,19   ,-88.896175779193712 ,-4.6787460936417746
201707   ,12           ,29   ,-86.808201356857609 ,-2.9933862536847449
201701   ,08           ,54   ,-153.855734934254   ,-2.8491802765602587
201805   ,05           ,38   ,-55.382852767271771 ,-1.4574434938755729
201706   ,07           ,25   ,-26.04630586942994  ,-1.0418522347771977
201610   ,12           ,6    ,-7.66485787434669   ,-1.2774763123911148
201610   ,11           ,42   ,-124.46245751937224 ,-2.9633918456993387
201610   ,17           ,9    ,-25.457404409300498 ,-2.8286004899222781
201503   ,03           ,34   ,-7.3555094839864958 ,-0.21633851423489697
201804   ,01           ,54   ,-359.39692235590672 ,-6.6554985621464215
201806   ,01           ,45   ,-58.940914379040578 ,-1.3097980973120129
201706   ,18           ,16   ,-17.522618362116877 ,-1.0951636476323046
201909   ,10           ,21   ,-88.671305413010515 ,-4.2224431149052624
201909   ,06           ,28   ,-107.94556493626493 ,-3.8551987477237475
201507   ,12           ,6    ,-15.167901587679388 ,-2.527983597946565
202002   ,04           ,120  ,-169.57788290144737 ,-1.4131490241787283
201807   ,20           ,2    ,-2.65682656826568   ,-1.32841328413284
201606   ,03           ,124  ,-163.0120160161226  ,-1.3146130323880854
201906   ,10           ,12   ,-36.828728132903564 ,-3.0690606777419629
201904   ,15           ,4    ,-6.08541016094301   ,-1.5213525402357524
201611   ,10           ,2    ,2.20264317180618    ,1.10132158590309
201801   ,06           ,26   ,-130.45003327074903 ,-5.017308971951886
201803   ,11           ,152  ,-1059.5130649320001 ,-6.9704806903421055
201710   ,18           ,7    ,-24.63386600775338  ,-3.5191237153933397
201806   ,06           ,4    ,-11.612989412982721 ,-2.90324735324568
201601   ,17           ,17   ,-39.222373472326    ,-2.3071984395485892
201705   ,06           ,23   ,-36.474335631581425 ,-1.5858406796339755
201510   ,02           ,26   ,-14.333512791215178 ,-0.55128895350827589
201508   ,05           ,94   ,-127.51151815370736 ,-1.3565055122734824
201911   ,02           ,5    ,-16.661333983591142 ,-3.332266796718228
201903   ,19           ,61   ,-216.12848008342982 ,-3.5430898374332758
201903   ,02           ,28   ,-32.377092757782947 ,-1.1563247413493909
201910   ,02           ,20   ,-18.208909854255328 ,-0.91044549271276642
201911   ,06           ,10   ,-55.7470466858821   ,-5.57470466858821
201906   ,06           ,6    ,18.357670937227361  ,3.0596118228712266
201607   ,20           ,1    ,-2.45098039215687   ,-2.45098039215687
201907   ,10           ,2    ,-4.24278137890396   ,-2.12139068945198
202005   ,05           ,65   ,-113.90599723779663 ,-1.7523999575045632
201807   ,19           ,45   ,-160.32977717930439 ,-3.5628839373178751
201812   ,19           ,38   ,-105.56619022320386 ,-2.7780576374527333
201805   ,08           ,7    ,-12.32308785828198  ,-1.7604411226117112
201605   ,02           ,33   ,9.7933399211722918  ,0.29676787639916025
