MonthYear,EventRootCode, SumAvgToneNumMentions,AvgAvgToneNumMentions
201605,17,-678.02405236814934,-22.600801745604983
201602,02,-605.489873013524,-11.424337226670257
201502,08,-74.076968432003611,-14.81539368640072
201705,12,-167.44578968089891,-9.8497523341705229
202002,01,-1066.5749349808384,-17.202821531949013
201908,05,-2205.8751868727777,-14.050160425941259
201802,17,-562.08914943494278,-15.191598633376833
201802,06,-973.545301752412,-17.384737531293073
201511,08,-295.2522917152184,-11.355857373662246
201806,18,-34.643827885656336,-11.547942628552113
201512,09,-79.8370567044429,-13.30617611740715
201708,18,2.0833333333333,0.520833333333325
202005,19,-487.83587387183866,-11.615139854091396
201611,16,-269.896636662355,-33.737079582794372
201809,04,-750.69765264454566,-4.8746600821074386
201709,13,-1142.0609543837522,-36.840675947862977
201503,19,-1150.1655077571597,-18.855172258314084
201605,05,67.2029477140218,0.76366986038661155
201510,16,-60.9751428340488,-15.2437857085122
201610,14,-306.75444302470544,-11.798247808642513
201503,01,-513.810320743966,-10.932134483914172
201907,05,-289.55157937929306,-3.4885732455336518
201512,12,-73.441171808569635,-12.240195301428273
201909,09,-12.176424915947798,-2.43528498318956
201912,01,-526.317531466896,-9.569409663034472
201809,18,-95.4749814494581,-23.868745362364525
202005,04,-923.60701656258959,-11.402555760031968
201703,03,588.99789602000783,7.0118797145239009
201808,01,-910.98926946393806,-17.51902441276804
201808,02,-282.38214554724442,-12.835552070329291
201604,19,-733.61824940815927,-15.283713529336652
201502,05,-138.61687812525454,-6.026820788054545
201609,06,-94.83932328943159,-5.2688512938573107
201609,15,-15.916167664670642,-15.916167664670642
201910,11,-1487.05324893481,-23.604019824362066
201604,06,50.14289594973593,4.1785746624779945
201512,19,-327.12808900861745,-11.280278931331637
201509,16,-245.65291365966704,-22.33208305996973
201806,19,-379.48656988264736,-11.499593026746894
201506,13,-48.15901236973572,-8.0265020616226188
201503,09,-133.03962703962696,-26.607925407925396
201502,17,-20.02660471913056,-5.00665117978264
201606,10,-20.383076043453372,-2.9118680062076243
201509,04,-1485.5787197393086,-7.98698236418983
201808,05,-802.73927254021828,-12.349834962157205
201908,12,-829.20490740264142,-36.052387278375711
201512,08,-94.973087918371945,-8.6339170834883561
201910,13,-62.680463168268055,-20.893487722756021
201712,01,-352.36627440706519,-9.52341282181257
201508,14,-110.90416051770407,-10.082196410700371
201602,08,-61.06816907172513,-4.0712112714483419
201703,10,-425.8582504771465,-15.772527795449871
201811,06,-67.208637855609183,-6.7208637855609155
201806,15,-9.25925925925926,-9.25925925925926
201704,03,221.0776564756307,6.6993229235039617
201604,05,-467.77500452784295,-6.4968750628867067
201904,01,-303.422576287856,-7.40055064116722
201801,03,-250.18406582493259,-7.3583548772038991
201602,17,-626.52802535175329,-21.604414667301835
201607,03,-1500.6353382531165,-14.291765126220158
201602,16,-17.6464308670888,-2.2058038583861
201607,04,-3953.4041648068755,-8.8049090530219942
201511,11,-1440.9477937285021,-32.7488134938296
201902,04,-1831.9396256477066,-9.2991859169934337
201812,11,-614.3739838530405,-21.941927994751445
201812,03,54.420940679430117,2.5914733656871487
201906,12,-23.504537792364005,-2.6116153102626676
201906,02,-64.5026036919856,-4.0314127307491
201810,11,-1703.2006368971101,-22.410534696014604
201811,12,-71.831766414430888,-17.957941603607722
201503,15,-18.748140353423562,-9.3740701767117809
202002,09,-97.900665642601112,-24.475166410650278
201706,12,-103.93704316026401,-17.322840526710667
201704,20,-50.948871701462473,-16.982957233820823
201611,11,-136.09418521037136,-6.1860993277441514
201505,04,-1133.8630864411227,-3.7545135312619933
201508,13,-149.69312035688617,-10.692365739777582
201504,08,-309.98739402951946,-11.922592078058445
201709,17,-589.28176560069369,-19.009089212925602
201612,17,-444.53657784278084,-19.327677297512206
202001,01,-4581.628290836893,-14.591172900754431
201801,05,-973.27038545950984,-12.806189282361974
201907,12,-68.307957643641956,-6.2098143312401781
201902,03,-412.12676767126845,-7.6319771790975652
201805,11,-877.03006805470761,-27.407189626709609
201908,18,-221.78324831576225,-18.481937359646849
201709,20,-53.080568720379119,-26.54028436018956
201912,03,-245.41527906299928,-5.2216016821914737
201511,15,-5.13761467889908,-2.56880733944954
201912,08,-20.602228873206712,-2.0602228873206712
201607,09,-241.39311866756378,-17.2423656191117
201710,03,-346.91770695734766,-11.190893772817667
201805,17,-68.964220357347159,-6.896422035734715
202004,05,-175.81852368114386,-10.342266098890818
201608,12,-130.32977287119505,-10.025367143938078
201708,05,-598.77068084927168,-9.6575916266011568
201706,03,1320.1580284349975,8.5171485705483736
201711,19,-616.78695292188286,-13.408412020040934
201809,10,-92.344055543180716,-18.468811108636142
201504,04,-2363.7744728829352,-5.7935648845169982
201610,08,-13.277467820020771,-0.8851645213347179
201908,03,-286.17073298227166,-6.5038802950516281
201907,14,4.2553191489361524,2.1276595744680762
201507,06,-114.37543483736475,-8.1696739169546255
201912,07,-113.58714198126809,-5.4089115229175277
201805,03,94.416531567007411,3.9340221486253095
201705,20,-35.86626139817632,-35.86626139817632
201710,12,-127.96088897710905,-15.995111122138633
201710,06,-179.29109836209506,-6.4032535129319665
201701,13,-99.574965617250356,-11.063885068583375
201701,12,-74.640764431809231,-12.440127405301535
201604,14,-125.0,-125.0
201807,11,-398.88396528231021,-9.972099132057755
201610,19,-198.10075987515216,-16.508396656262683
201508,04,-1354.1377110204792,-4.9421084343813115
201801,04,-2794.5310331988217,-11.359882248775694
201808,11,-1334.2371434446034,-17.105604403135935
201604,12,-37.986801949954931,-6.3311336583258209
201705,13,-18.768328445747841,-4.69208211143696
201609,19,-1085.0990664905064,-13.563738331131331
201902,02,-760.26953163164023,-18.543159308088782
201802,04,-4871.5138764861758,-12.332946522749811
