MonthYear,Actor1CountryCode,Events ,sumNumMentions,materialConfCoop    ,verbalConfCoop      ,avgAvgTone           ,avgGoldstein         ,fightCount,expressCount
202001   ,SWZ              ,206    ,895           ,0.15048543689320387 ,0.13106796116504854 ,-2.7971864685244792  ,0.55339805825242716  ,5         ,4
202001   ,PAK              ,35251  ,156486        ,0.14893194519304417 ,0.15576863067714392 ,-2.6363704338424525  ,0.17795523531247379  ,2044      ,460
202001   ,KHM              ,3135   ,15368         ,0.12376395534290272 ,0.097288676236044661,-1.7155223592073769  ,1.0904625199362044   ,75        ,63
202001   ,MAC              ,149    ,443           ,0.067114093959731544,0.0738255033557047  ,-1.6562356967601404  ,1.5496644295302016   ,1         ,2
202001   ,NRU              ,57     ,273           ,0.017543859649122806,0.0                 ,-2.25632074799445    ,4.2508771929824558   ,0         ,1
202001   ,ZMB              ,1973   ,8385          ,0.0932589964521034  ,0.12316269640141916 ,-1.1518689891392566  ,1.098428788646731    ,33        ,33
202001   ,BWA              ,1377   ,5945          ,0.10457516339869281 ,0.15032679738562091 ,-1.2140698139276367  ,0.746550472040668    ,41        ,12
202001   ,VAT              ,3185   ,19554         ,0.030141287284144426,0.090737833594976447,-0.52317005951288476 ,1.6978649921507059   ,24        ,47
202001   ,AUS              ,62910  ,303058        ,0.15207439198855507 ,0.10810681926561755 ,-2.1639638175491842  ,0.43908122714989711  ,4893      ,1409
202001   ,SAU              ,25268  ,109770        ,0.14686560075985436 ,0.13056039259141997 ,-1.9933745581552578  ,0.37819376286211825  ,2344      ,536
202001   ,MLI              ,4844   ,29691         ,0.17857142857142858 ,0.10590421139554088 ,-3.2007639781565387  ,0.32097440132122251  ,503       ,71
202001   ,VEN              ,16624  ,84123         ,0.11639797882579403 ,0.15020452358036573 ,-2.1011901675099471  ,0.80458373435996167  ,588       ,180
202001   ,TZA              ,2368   ,10816         ,0.10135135135135136 ,0.096283783783783786,-0.84855300005395384 ,1.4095016891891892   ,71        ,31
202001   ,LBY              ,32651  ,150834        ,0.12618296529968454 ,0.11849560503506784 ,-2.5070613668336259  ,1.3050258797586594   ,2667      ,264
202001   ,BGR              ,7855   ,46563         ,0.12399745385105029 ,0.12221514958625079 ,-1.7337842229635425  ,0.92721833227243855  ,367       ,314
