MonthYear,EventRootCode,SumNumMentions,AvgNumMentions
201706   ,19           ,214           ,3.9629629629629628
201802   ,13           ,22            ,4.4
201612   ,12           ,186           ,9.7894736842105257
201509   ,03           ,162           ,4.05
201812   ,03           ,150           ,6.25
201507   ,10           ,42            ,5.25
201910   ,05           ,215           ,3.8392857142857149
201811   ,04           ,481           ,4.333333333333333
201906   ,19           ,141           ,4.1470588235294112
201912   ,16           ,50            ,5.5555555555555554
202003   ,08           ,220           ,6.875
201610   ,01           ,1316          ,4.53793103448276
201705   ,15           ,51            ,4.6363636363636367
201804   ,06           ,86            ,6.1428571428571423
201712   ,17           ,171           ,4.4999999999999991
201503   ,04           ,821           ,4.5359116022099437
201502   ,13           ,113           ,5.3809523809523814
201507   ,19           ,309           ,4.6818181818181817
201505   ,08           ,120           ,5.0
201602   ,19           ,217           ,4.5208333333333339
201510   ,10           ,31            ,4.4285714285714279
201807   ,17           ,137           ,3.8055555555555554
201908   ,01           ,389           ,5.32876712328767
201906   ,08           ,142           ,4.7333333333333334
201912   ,05           ,430           ,4.3434343434343434
201905   ,14           ,41            ,4.1
201801   ,19           ,181           ,5.1714285714285708
201703   ,11           ,550           ,4.4354838709677429
201803   ,07           ,50            ,5.5555555555555554
201702   ,08           ,186           ,4.5365853658536581
201705   ,02           ,324           ,5.0625
201705   ,08           ,217           ,6.78125
201701   ,06           ,105           ,5.0
201605   ,01           ,1329          ,4.7295373665480422
201702   ,16           ,53            ,3.7857142857142856
201709   ,16           ,134           ,5.3599999999999994
201702   ,14           ,8             ,8.0
201606   ,13           ,351           ,4.943661971830986
201510   ,13           ,43            ,3.9090909090909087
202002   ,12           ,329           ,4.8382352941176476
202002   ,07           ,22            ,4.4
201906   ,11           ,329           ,4.5694444444444438
201904   ,14           ,36            ,3.6
201909   ,14           ,6             ,2.0
202005   ,03           ,57            ,4.0714285714285712
202005   ,18           ,6             ,6.0
201704   ,09           ,206           ,4.291666666666667
201709   ,02           ,441           ,8.48076923076923
201709   ,17           ,128           ,4.7407407407407414
201706   ,18           ,8             ,2.6666666666666665
201711   ,17           ,323           ,6.0943396226415087
201709   ,08           ,277           ,5.5400000000000018
201701   ,16           ,17            ,4.25
201712   ,07           ,46            ,5.1111111111111107
201602   ,12           ,426           ,6.6562500000000009
201510   ,12           ,132           ,5.0769230769230766
201502   ,17           ,72            ,4.5
201606   ,01           ,835           ,4.5879120879120867
201605   ,12           ,291           ,4.2794117647058822
201508   ,12           ,120           ,5.4545454545454541
201507   ,09           ,26            ,2.8888888888888888
201509   ,16           ,75            ,4.1666666666666661
201910   ,04           ,272           ,4.1846153846153848
201808   ,19           ,89            ,3.2962962962962963
201905   ,19           ,91            ,4.1363636363636367
202003   ,15           ,10            ,5.0
201704   ,04           ,954           ,4.8673469387755119
201704   ,10           ,56            ,9.3333333333333321
201703   ,16           ,98            ,4.454545454545455
201705   ,18           ,59            ,4.5384615384615383
201804   ,05           ,354           ,4.2650602409638561
201603   ,03           ,225           ,5.3571428571428568
201610   ,16           ,32            ,5.333333333333333
201612   ,20           ,16            ,5.333333333333333
201710   ,15           ,19            ,3.166666666666667
201602   ,01           ,556           ,5.2952380952380924
201605   ,16           ,331           ,4.6619718309859159
